loja_nome,segmento,shopping,valor,cupons
Coliseu,Joalheria,Garten Shopping,39481.0,13
Companhia da Moda,Moda,Continente Shopping,22436.22,44
Constance,Calçados,Continente Shopping,24439.9,79
Continente Shopping - Estacionamento,Serviços,Continente Shopping,8848.0,462
Cores em Cacau,Gastronomia,Balneário Shopping,530.95,10
Cores em Cacau,Gastronomia,Neumarkt Shopping,255.68,6
Creamy Skin Care,Beleza e Bem-estar,Balneário Shopping,6395.92,35
Criamigos,Infantil,Balneário Shopping,12131.34,34
Crocs,Calçados,Balneário Shopping,19200.0,57
Crocs,Calçados,Garten Shopping,7810.0,27
Crocs,Calçados,Neumarkt Shopping,9554.0,28
Cvc Viagens,Serviços,Neumarkt Shopping,58766.4,10
Damay Cafeteria,Gastronomia,Garten Shopping,965.14,31
Damyller,Moda,Continente Shopping,20622.0,34
Damyller,Moda,Garten Shopping,23549.0,37
Damyller,Moda,Nações Shopping,18767.0,34
Damyller,Moda,Neumarkt Shopping,27546.4,43
Daniela Tombini,Moda,Neumarkt Shopping,13608.3,19
De Ville Gourmet,Gastronomia,Balneário Shopping,4452.05,67
Decathlon,Esportes,Continente Shopping,102198.76,495
Dedal Oficina de Costura,Serviços,Continente Shopping,206.65,3
Delícia do Vale,Gastronomia,Norte Shopping,2146.55,39
Democrata,Calçados,Balneário Shopping,22907.18,60
Democrata,Calçados,Continente Shopping,33528.92,78
Dez Pastéis,Gastronomia,Nações Shopping,793.2,25
Diesel,Moda,Balneário Shopping,29862.0,19
Divert Park,Lazer,Continente Shopping,398.0,4
Divino Fogão,Gastronomia,Balneário Shopping,2214.56,40
Divino Fogão,Gastronomia,Continente Shopping,9556.789999999999,124
Divino Fogão,Gastronomia,Garten Shopping,4983.21,101
Divino Fogão,Gastronomia,Neumarkt Shopping,7138.39,190
Docejo,Gastronomia,Continente Shopping,10591.85,246
Don Barber,Beleza e Bem-estar,Neumarkt Shopping,369.55,1
Don Pettine,Salão de Beleza | Barbearia,Nações Shopping,58.0,1
Dona Torta,Gastronomia,Garten Shopping,23174.73,440
Donna Mirô,Gastronomia,Nações Shopping,2692.2,51
Dudalina,Moda,Nações Shopping,4547.75,14
Due Sapori,Gastronomia,Neumarkt Shopping,5414.75,92
Duladu,Gastronomia,Balneário Shopping,2540.8,9
EVOLUCELL CELULARES,Telefonia,Continente Shopping,1558.9,3
Ecomax,Hub da Saúde,Norte Shopping,525.0,1
Ellus,Moda,Balneário Shopping,7323.85,11
Empório Du Homem,Moda,Continente Shopping,44447.11,78
Empório Du Homem,Moda,Nações Shopping,21025.78,19
Empório Sabores do Mundo,Gastronomia,Garten Shopping,170.0,1
Espaço Laser,Beleza e Bem-estar,Continente Shopping,773.78,2
Espaço Laser,Beleza e Bem-estar,Norte Shopping,942.39,1
Estacionamento - Nações Shopping,Serviços,Nações Shopping,2310.0,171
Estação Choperia,Gastronomia,Neumarkt Shopping,3419.2,64
Estação Choperia,Gastronomia,Norte Shopping,1063.0,15
Estação do Doce,Gastronomia,Nações Shopping,288.67,13
Estrela Beauty,Infantil,Balneário Shopping,24458.7,105
Evolucell,Eletrônicos,Continente Shopping,1230.0,1
Exclusiva Colchões,Casa e Decoração,Continente Shopping,18288.8,5
Express Grill,Gastronomia,Norte Shopping,2863.67,62
Express Grill,Gastronomia - Restaurante,Garten Shopping,1413.12,34
FATIMA ESPORTES,Esportes,Nações Shopping,21364.43,60
FORUM,Moda,Balneário Shopping,10878.7,12
Farm,Beleza e Bem-estar,Nações Shopping,10531.67,16
Farm,Moda,Nações Shopping,558.4,1
Farm,Moda Feminina,Garten Shopping,23561.79,38
Farm,Moda Feminina,Neumarkt Shopping,56059.56,85
Farm,Vestuário feminino,Continente Shopping,8323.42,15
Feng Cheng,Gastronomia,Garten Shopping,21942.24,325
Feng Cheng,Gastronomia,Neumarkt Shopping,11630.39,159
Feng Cheng,Gastronomia,Norte Shopping,5486.93,78
Fini,Gastronomia,Balneário Shopping,2802.65,63
Fini,Gastronomia,Continente Shopping,508.72,24
Fini,Gastronomia,Garten Shopping,168.97,7
Fini,Gastronomia,Nações Shopping,232.03,8
Floripratas,Presentes e Acessórios,Continente Shopping,5120.27,36
Francisbel,Gastronomia,Nações Shopping,14.9,1
Freddo,Gastronomia,Balneário Shopping,4612.95,121
Freddo,Gastronomia,Neumarkt Shopping,6214.07,160
Fun Case,Eletrônicos,Balneário Shopping,50.0,1
Fun Case,Telefonia,Continente Shopping,99.0,1
Fun Case,Telefonia,Garten Shopping,446.0,4
Fábrica Di Chocolate,Gastronomia,Continente Shopping,232.65,10
Fábrica Di Chocolate,Gastronomia,Nações Shopping,331.1,4
Fátima Bebê,Infantil,Nações Shopping,7278.88,24
Fátima Criança,Infantil,Nações Shopping,13875.41,60
Fátima Papelaria,Papelaria,Nações Shopping,15645.81,65
GNC Cinemas,Lazer,Neumarkt Shopping,4856.91,100
GOL Linhas Aéreas,Serviços,Continente Shopping,1931.24,1
Game Mania,Eletrônicos,Balneário Shopping,16770.0,24
Game Mania,Eletrônicos,Neumarkt Shopping,32857.53,28
Game Mania,Eletrônicos,Norte Shopping,21687.3,22
Gamelas & Panella's,Gastronomia,Continente Shopping,23859.95,389
Gamelas & Panella´s,Gastronomia,Balneário Shopping,6121.2300000000005,78
Gelato Borelli,Gastronomia,Neumarkt Shopping,5183.76,124
Gelatony Gelateria,Gastronomia,Continente Shopping,1494.0,40
General Lyy,Moda,Garten Shopping,22937.35,81
General Lyy,Moda,Neumarkt Shopping,17971.04,61
Giraffa's,Gastronomia,Balneário Shopping,4190.21,66
Giraffas,Gastronomia,Continente Shopping,19494.5,373
Gnc Balneario,Lazer,Balneário Shopping,3990.0,69
Gnc Cinemas,Lazer,Nações Shopping,1212.38,26
Gnc Joinville Garten,Lazer,Garten Shopping,2451.13,48
Go Coffee,Gastronomia,Continente Shopping,438.5,15
Go Coffee,Gastronomia,Norte Shopping,60.0,2
GoCoffee,Gastronomia,Balneário Shopping,132.0,5
Goldko,Gastronomia,Continente Shopping,1394.02,21
Gondolier,Gastronomia,Neumarkt Shopping,22079.07,285
Granado,Beleza e Bem-estar,Balneário Shopping,41991.48,181
Granado Phamácias,Farmácias,Garten Shopping,28580.3,163
GrandVision by Fototica,Ótica,Neumarkt Shopping,15458.5,15
Grandvision By Fototica,Gastronomia - Restaurante,Nações Shopping,7170.9,8
Grandvision by Fototica,Ótica,Balneário Shopping,11132.619999999999,8
Grano Pasta Ristorante,Gastronomia,Garten Shopping,4063.56,86
Griletto,Gastronomia,Continente Shopping,7256.03,181
Griletto,Gastronomia,Nações Shopping,3682.8,63
Griletto,Gastronomia - Restaurante,Garten Shopping,5947.65,122
H'Cel,Eletrônicos,Norte Shopping,1289.0,3
HOPE Moda íntima,Moda Feminina,Garten Shopping,8457.47,42
HOT DOG DUPIRU,Gastronomia,Continente Shopping,3423.29,102
Havaianas,Calçados,Continente Shopping,19026.55,208
Havaianas,Calçados,Garten Shopping,14830.41,162
Havaianas,Calçados,Nações Shopping,4171.15,57
Havan,Casa e Decoração,Garten Shopping,100328.87,485
Havan,Casa e Decoração,Neumarkt Shopping,158076.51,692
Havan,Casa e Decoração,Norte Shopping,144224.15,550
Havanna Café,Gastronomia,Balneário Shopping,759.0,18
Hector Albertazzi,Joalheria,Balneário Shopping,10272.7,4
Hefesto Acessorios,Presentes e Acessórios,Continente Shopping,6431.29,19
Hering,Moda,Garten Shopping,73947.02,276
Hering,Moda,Norte Shopping,9479.04,34
Hering Store,Moda,Balneário Shopping,41766.04,141
Hering Store,Moda,Continente Shopping,34045.97,127
Hering Store,Moda,Neumarkt Shopping,72706.62,220
Hope,Moda,Continente Shopping,4885.11,24
Hope,Moda,Neumarkt Shopping,36194.78,119
Hope Nacoes Shopping,Outros,Nações Shopping,9798.47,38
IDéli oui,Beleza e Bem-estar,Continente Shopping,34893.95,110
Idéli Oui,Beleza e Bem-estar,Garten Shopping,81509.42,140
Idéli.Oui,Beleza e Bem-estar,Neumarkt Shopping,57556.68,88
Idéli.oui,Beleza e Bem-estar,Norte Shopping,30653.95,83
Innovva Editora,Livrarias,Garten Shopping,1777.3,24
Inovare Suplementos,Esportes,Continente Shopping,2226.9,11
Inovathi Acessórios,Presentes e Acessórios,Garten Shopping,14817.04,49
Intimissimi,Moda,Continente Shopping,18991.02,40
Intimissimi,Moda,Garten Shopping,3170.5,10
JAH Açaí,Gastronomia,Nações Shopping,3179.97,70
