loja_nome,segmento,shopping,valor,cupons
Chiquinho Sorvetes,Gastronomia - Sorvetes,Garten Shopping,1348.0,55
Chiquinho Sorvetes,Gastronomia - Sorvetes,Norte Shopping,3015.8,120
Churras Churrascaria,Gastronomia - Restaurante,Norte Shopping,373.44,1
Chuá Brand,Moda,Garten Shopping,61987.07,70
Chuá Brand,Moda Feminina,Continente Shopping,39407.34,50
Cia Marítima,Moda Feminina,Neumarkt Shopping,23333.260000000002,32
Cia da Saúde,Outros,Garten Shopping,121.84,4
Cia do Homem,Moda,Neumarkt Shopping,90500.7,144
Cia do Terno,Moda,Norte Shopping,24101.43,31
Cinépolis,Lazer,Continente Shopping,9539.0,150
Cinépolis,Lazer,Norte Shopping,3882.3,77
Claro,Telefonia,Continente Shopping,154418.12,39
Claro,Telefonia,Garten Shopping,21645.12,10
Claro,Telefonia,Neumarkt Shopping,59592.04,23
Claro,Telefonia,Norte Shopping,16480.48,8
Claro S/a,Telefonia,Balneário Shopping,47628.0,9
Clifield,Moda,Balneário Shopping,52795.2,64
Clifield,Moda,Continente Shopping,83143.98,146
Clube Melissa,Calçados,Balneário Shopping,20220.84,78
Clube Melissa,Calçados,Neumarkt Shopping,23524.24,98
Coach,Beleza e Bem-estar,Balneário Shopping,155509.6,41
Coach,Moda Feminina,Balneário Shopping,8896.0,2
Cobasi,Pets,Continente Shopping,81702.54,573
Cobasi,Pets,Garten Shopping,37269.15,352
Cobasi,Pets,Nações Shopping,13933.46,121
Cobasi,Pets,Neumarkt Shopping,73874.03,523
Cobasi,Pets,Norte Shopping,49595.33,382
Colcci,Moda,Balneário Shopping,128348.1,92
Colcci,Moda,Nações Shopping,13649.7,33
Coliseu,Joalheria,Balneário Shopping,59396.55,27
Coliseu,Joalheria,Garten Shopping,104688.65,35
Companhia da Moda,Moda,Continente Shopping,38562.3,91
Conecta Store,Não informado,Garten Shopping,32504.0,9
Constance,Calçados,Continente Shopping,45709.87,143
Continente Shopping - Estacionamento,Serviços,Continente Shopping,11361.0,453
Cores em Cacau,Gastronomia,Balneário Shopping,1838.94,33
Cotton On,Beleza e Bem-estar,Balneário Shopping,101119.2,305
Cotton On,Moda,Continente Shopping,48757.909999999996,162
Cotton:on,Moda,Balneário Shopping,6515.57,23
Creamy Skin Care,Beleza e Bem-estar,Balneário Shopping,15454.5,87
Crepefy,Gastronomia,Neumarkt Shopping,258.40999999999997,8
Criamigos,Infantil,Balneário Shopping,27119.38,68
Criamigos,Presentes e Acessórios,Garten Shopping,12667.9,37
Crocs,Calçados,Garten Shopping,13505.0,39
Crocs,Calçados,Nações Shopping,3904.89,12
Crocs,Calçados,Neumarkt Shopping,10047.8,39
Cvc Viagens,Serviços,Neumarkt Shopping,160799.77,13
Damay Cafeteria,Gastronomia,Garten Shopping,48.3,2
Damyller,Moda,Continente Shopping,62164.2,82
Damyller,Moda,Garten Shopping,57351.7,92
Damyller,Moda,Nações Shopping,4839.0,9
Damyller,Moda,Neumarkt Shopping,57973.3,95
Damyller,Não informado,Balneário Shopping,37152.4,52
Daniela Tombini,Moda,Neumarkt Shopping,31506.77,61
De Ville Gourmet,Gastronomia,Balneário Shopping,12674.23,149
Decathlon,Esportes,Continente Shopping,195275.08,805
Dedal Oficina de Costura,Serviços,Continente Shopping,94.0,1
Democrata,Calçados,Balneário Shopping,50994.44,111
Democrata,Calçados,Continente Shopping,49665.2,127
Democrata,Calçados,Garten Shopping,53398.0,118
Democrata,Calçados,Neumarkt Shopping,33894.56,86
Dengo,Beleza e Bem-estar,Balneário Shopping,39525.93,210
Dez Pastéis,Gastronomia,Nações Shopping,1372.4,36
Diesel,Moda,Balneário Shopping,100649.9,24
Digital Duo,Eletrônicos,Garten Shopping,6044.05,13
Divert Park,Lazer,Continente Shopping,696.0,2
Divino Fogão,Gastronomia,Balneário Shopping,8322.539999999999,126
Divino Fogão,Gastronomia,Continente Shopping,8287.99,114
Divino Fogão,Gastronomia,Garten Shopping,7030.86,140
Divino Fogão,Gastronomia,Neumarkt Shopping,6645.27,139
Divino Fogão,Telefonia,Norte Shopping,4084.47,63
Docejo,Gastronomia,Continente Shopping,15356.63,302
Dolce & Gabbana,Moda,Balneário Shopping,40450.0,4
Dolce & Gabbana Do Brasil,Moda,Balneário Shopping,190352.0,34
Don Barber,Beleza e Bem-estar,Neumarkt Shopping,365.0,2
Dona Torta,Gastronomia,Garten Shopping,45792.95,820
Donna Mirô,Gastronomia,Nações Shopping,1873.97,29
Dress To,Moda Feminina,Balneário Shopping,52851.44,74
Dudalina,Moda,Nações Shopping,7325.41,9
Due Sapori,Gastronomia,Neumarkt Shopping,18931.55,271
Duladu,Gastronomia,Balneário Shopping,15756.08,59
Duplicado*,Moda,Garten Shopping,25522.81,51
Dvie Joalheria,Joalheria,Balneário Shopping,166768.0,6
EVOLUCELL CELULARES,Telefonia,Continente Shopping,2284.5,12
Eco Made,Casa e Decoração,Continente Shopping,30411.08,9
Ellus,Moda,Balneário Shopping,14180.4,15
Empório DUHomem,Moda,Neumarkt Shopping,11515.08,17
Empório Du Homem,Moda,Continente Shopping,126376.31,144
Empório Du Homem,Moda,Nações Shopping,3655.2,5
Empório DuHomem,Moda,Norte Shopping,27546.29,58
Espaço Laser,Beleza e Bem-estar,Continente Shopping,17314.59,9
Espaço Laser,Beleza e Bem-estar,Nações Shopping,89.0,1
Espaço Laser,Beleza e Bem-estar,Neumarkt Shopping,124.95,1
Essence Parfums,Beleza e Bem-estar,Nações Shopping,10834.88,11
Estacionamento - Nações Shopping,Serviços,Nações Shopping,112.0,5
Estacionamento Norte Shopping,Não informado,Norte Shopping,1476.0,82
Estação Choperia,Gastronomia,Neumarkt Shopping,6256.0,144
Estação Choperia,Gastronomia,Norte Shopping,3875.0099999999998,60
Estação do Doce,Gastronomia,Nações Shopping,34.8,2
Estrela Beauty,Infantil,Balneário Shopping,5428.7,33
Evolucell,Eletrônicos,Continente Shopping,230.0,1
Express Grill,Gastronomia,Norte Shopping,3604.33,82
Express Grill,Gastronomia - Restaurante,Garten Shopping,7443.52,146
FARM Rio,Moda,Continente Shopping,57447.72,96
Fabrica de Natal,Casa e Decoração,Garten Shopping,2243.2,10
Farm,Moda,Balneário Shopping,102280.74,167
Farm,Moda,Nações Shopping,8995.619999999999,27
Farm,Moda Feminina,Garten Shopping,76013.53,163
Farm,Moda Feminina,Neumarkt Shopping,94950.32,174
Feng Cheng,Gastronomia,Garten Shopping,36698.99,538
Feng Cheng,Gastronomia,Neumarkt Shopping,19591.61,244
Feng Cheng,Gastronomia,Norte Shopping,5425.42,76
Figueira Store,Esportes,Continente Shopping,7538.780000000001,22
Fini,Gastronomia,Balneário Shopping,827.44,22
Fini,Gastronomia,Continente Shopping,11464.81,345
Fini,Gastronomia,Garten Shopping,410.34,20
Fini,Gastronomia,Nações Shopping,42.61,2
Floripratas,Presentes e Acessórios,Continente Shopping,8180.2,49
Forneria Carbone,Gastronomia,Continente Shopping,71902.19,203
Frank d'Ferran Cabelereiros,Salão de Beleza | Barbearia,Continente Shopping,2790.0,7
Freddo,Gastronomia,Balneário Shopping,14907.16,313
Freddo,Gastronomia,Garten Shopping,3841.84,103
Freddo,Gastronomia,Neumarkt Shopping,12204.96,320
Freddo Gelateria,Gastronomia - Sorvetes,Norte Shopping,429.59999999999997,6
Fun Case,Eletrônicos,Balneário Shopping,877.0,2
Fun Case,Eletrônicos,Norte Shopping,1194.0,3
Fun Case,Telefonia,Continente Shopping,4024.0,8
Fun Case,Telefonia,Garten Shopping,783.0,4
Fun Case Gamer,Presentes e Acessórios,Balneário Shopping,1933.9,6
Fábrica Di Chocolate,Gastronomia,Nações Shopping,1122.44,17
Fátima Bebê,Infantil,Nações Shopping,3499.6,13
Fátima Criança,Infantil,Nações Shopping,9087.4,42
Fátima Esportes,Esportes,Nações Shopping,4553.99,13
Fátima Papelaria,Papelaria,Nações Shopping,9129.9,50
GNC Cinemas,Lazer,Neumarkt Shopping,8411.92,147
Game Mania,Eletrônicos,Balneário Shopping,48010.0,32
Game Mania,Eletrônicos,Neumarkt Shopping,47859.54,35
Game Mania,Eletrônicos,Norte Shopping,17217.0,18
Gamelas & Panella's,Gastronomia,Continente Shopping,20633.9,313
Gamelas & Panella´s,Gastronomia,Balneário Shopping,28201.29,305
Garten Shopping - Estacionamento,Serviços,Garten Shopping,7232.0,351
Gelato Borelli,Gastronomia,Neumarkt Shopping,7692.0,178
Gelato Borelli,Gastronomia - Sorvetes,Garten Shopping,6750.5,127
General Lyy,Moda,Garten Shopping,48502.22,133
General Lyy,Moda,Neumarkt Shopping,31920.7,73
Geror,Ótica,Nações Shopping,459.8,2
Gio Gelato Sorveteria Italiana Artesanal,Não informado,Nações Shopping,124.75,4
Giraffa's,Gastronomia,Balneário Shopping,12590.48,197
Giraffas,Gastronomia,Continente Shopping,20930.36,386
Gnc Balneario,Lazer,Balneário Shopping,12022.47,167
Gnc Cinemas,Lazer,Nações Shopping,1018.0,18
Gnc Joinville Garten,Lazer,Garten Shopping,3477.87,67
Go Coffee,Gastronomia,Norte Shopping,389.0,11
GoCoffee,Gastronomia,Balneário Shopping,244.0,9
Goldko,Gastronomia,Continente Shopping,3821.32,57
Gondolier,Gastronomia,Neumarkt Shopping,24077.6,305
Granado,Beleza e Bem-estar,Balneário Shopping,98492.39,346
Granado Phamácias,Farmácias,Garten Shopping,55582.05,273
GrandVision,Ótica,Neumarkt Shopping,44402.82,27
Grandvision By Fototica,Ótica,Nações Shopping,2349.56,2
Grandvision by Fototica,Ótica,Balneário Shopping,55003.07,32
Grano Pasta Ristorante,Gastronomia,Garten Shopping,3626.8,67
Griletto,Gastronomia,Continente Shopping,7187.14,166
Griletto,Gastronomia,Nações Shopping,2767.2,43
Griletto,Gastronomia - Restaurante,Garten Shopping,1553.98,30
Growfit,Gastronomia,Balneário Shopping,943.41,13
H'Cel,Eletrônicos,Norte Shopping,11388.0,17
HOPE Moda íntima,Moda Feminina,Garten Shopping,33532.42,137
Havaianas,Calçados,Balneário Shopping,51971.93,457
Havaianas,Calçados,Garten Shopping,29177.71,305
Havaianas,Calçados,Nações Shopping,3187.54,38
Havan,Casa e Decoração,Garten Shopping,208785.63999999998,808
Havan,Casa e Decoração,Neumarkt Shopping,309343.97,1268
Havan,Casa e Decoração,Norte Shopping,327907.52999999997,1017
Havanna Café,Gastronomia,Balneário Shopping,22785.17,163
Hector Albertazzi,Joalheria,Balneário Shopping,30301.7,9
Hefesto Acessorios,Presentes e Acessórios,Continente Shopping,17031.84,55
Hering,Moda,Garten Shopping,144322.54,475
Hering,Moda,Norte Shopping,27915.56,101
Hering Store,Moda,Balneário Shopping,117460.69,347
Hering Store,Moda,Continente Shopping,70956.01,264
Hering Store,Moda,Neumarkt Shopping,136551.77000000002,411
Homem Do Sapato,Moda,Continente Shopping,3381.0,5
Hope,Moda,Balneário Shopping,110327.2,354
Hope,Moda,Continente Shopping,36880.85,146
Hope,Moda,Neumarkt Shopping,55524.68,195
Hope Nacoes Shopping,Outros,Nações Shopping,4462.0,14
Hot Dog Du Piru,Gastronomia,Continente Shopping,4574.74,110
I Love Berry,Calçados,Balneário Shopping,1292.0,35
IDéli oui,Beleza e Bem-estar,Continente Shopping,70804.15,165
Idéli Oui,Beleza e Bem-estar,Garten Shopping,113153.23,198
Idéli.Oui,Beleza e Bem-estar,Neumarkt Shopping,100317.75,108
Idéli.oui,Beleza e Bem-estar,Norte Shopping,99492.49,248
Inovathi Acessórios,Presentes e Acessórios,Garten Shopping,25587.71,82
Inspire Predrarias,Joalheria,Nações Shopping,320.0,2
Intimissimi,Moda,Balneário Shopping,103757.16,170
Intimissimi,Moda,Continente Shopping,12775.04,32
Intimissimi,Moda Feminina,Neumarkt Shopping,42853.11,84
It Cell,Eletrônicos,Continente Shopping,3309.65,26
JAH Açaí,Gastronomia,Nações Shopping,3137.4,67
JBay,Moda,Continente Shopping,27572.21,56
JCanedo,Moda,Continente Shopping,28137.56,46
JCanedo,Moda,Garten Shopping,19771.39,36
JCanedo,Moda,Neumarkt Shopping,52445.840000000004,82
JCanedo,Moda,Norte Shopping,16249.7,29
Jack Simonéia Garten,Salão de Beleza | Barbearia,Garten Shopping,1916.5,9
